taxonomy	UCS.0002.UA_S1_L001	UCS.0002.UA_S1_L002	UCS.0007.UA_S2_L001	UCS.0007.UA_S2_L002	UCS.0010.UA_S3_L001	UCS.0010.UA_S3_L002	UCS.0016.UA_S4_L001	UCS.0016.UA_S4_L002	UCS.0018.UA_S5_L001	UCS.0018.UA_S5_L002	UCS.0020.BAL_S12_L001	UCS.0020.BAL_S12_L002	UCS.0025.BAL_S8_L001	UCS.0025.BAL_S8_L002	UCS.0040.BKG_S16_L001	UCS.0040.BKG_S16_L002	UCS.0047.BAL_S7_L001	UCS.0047.BAL_S7_L002	UCS.0064.BAL_S6_L001	UCS.0064.BAL_S6_L002	UCS.0069.BKG_S17_L001	UCS.0069.BKG_S17_L002	UCS.0070.BKG_S18_L001	UCS.0070.BKG_S18_L002	UCS.0081.BAL_S9_L001	UCS.0081.BAL_S9_L002	UCS.0085.BKG_S20_L001	UCS.0085.BKG_S20_L002	UCS.0136.BKG_S19_L001	UCS.0136.BKG_S19_L002	UCS.0147.BAL_S11_L001	UCS.0147.BAL_S11_L002	UCS.0163.BAL_S10_L001	UCS.0163.BAL_S10_L002	UCS.0191.BAL_S13_L001	UCS.0191.BAL_S13_L002	UCS.0192.BAL_S14_L001	UCS.0192.BAL_S14_L002	UCS.0194.BAL_S15_L001	UCS.0194.BAL_S15_L002
Staphylococcus agnetis	131	120	114	112	5	6	205	198	40	33	3	2	34	28	12	18	0	0	6	1	22	11	6	11	3	1	3	3	5	7	1	3	2	1	1	1	0	2	2	0
Staphylococcus pettenkoferi	111	132	106	144	23	29	177	213	22	26	1	0	42	32	96	29	2	0	1	0	26	34	83	73	2	1	34	57	10	15	1	1	1	1	1	2	0	1	0	0
Staphylococcus stepanovicii	59	38	21	18	6	13	99	97	12	6	2	5	38	31	23	28	3	0	2	2	35	49	35	29	2	5	16	20	12	13	4	3	2	9	4	5	1	4	4	7
Staphylococcus sp. SDB 2975	50	45	116	103	4	7	124	138	33	25	0	1	20	14	7	9	1	0	0	2	8	11	4	2	0	5	1	2	0	2	1	0	1	0	3	3	0	1	1	0
Staphylococcus schweitzeri	46	46	11	29	11	6	38	38	57	41	5	4	23	12	1	3	0	2	2	2	6	5	0	0	2	2	3	0	0	0	3	0	0	3	2	1	0	0	1	1
Staphylococcus kloosii	35	47	40	33	8	10	158	173	41	34	3	2	21	28	8	9	0	0	2	1	27	20	16	18	1	6	11	12	6	11	0	3	2	6	6	10	1	1	0	4
Staphylococcus argenteus	33	32	546	557	1	0	497	412	69	68	1	5	20	26	17	26	1	3	2	1	39	35	30	30	1	1	12	8	15	9	0	1	1	6	5	4	3	5	1	1
Staphylococcus felis	27	32	240	261	11	23	103	118	14	22	0	2	19	26	13	14	1	0	1	2	28	12	21	10	0	0	5	3	1	6	2	4	0	1	4	4	2	2	1	2
Staphylococcus auricularis	17	15	95	73	0	7	287	260	116	98	1	0	38	35	10	20	0	1	1	8	31	26	10	12	1	3	3	9	6	3	3	1	4	1	1	6	1	0	0	1
Staphylococcus nepalensis	14	22	256	283	4	6	455	434	133	145	2	3	33	30	10	23	1	0	1	3	15	28	25	24	2	4	11	5	6	6	3	3	3	1	3	5	3	2	2	3
Staphylococcus sciuri	13	7	20	20	7	7	223	162	888	838	2	4	20	19	15	13	3	1	6	6	23	11	22	9	3	2	16	19	4	2	1	2	4	9	4	11	0	5	2	3
Staphylococcus schleiferi	11	11	253	249	2	6	244	239	74	93	2	3	16	24	4	2	1	3	3	4	10	8	4	5	5	2	5	4	0	0	0	1	3	4	1	3	1	0	4	1
Staphylococcus condimenti	9	10	26	23	4	3	71	101	18	16	0	0	20	17	2	6	1	2	1	2	3	5	2	4	0	2	8	7	2	7	1	1	3	4	3	2	1	1	0	1
Staphylococcus carnosus	9	15	44	38	2	3	405	377	19	9	0	0	11	7	12	18	0	2	1	2	37	45	32	16	2	2	10	17	11	4	1	1	1	4	3	2	0	2	2	3
Staphylococcus piscifermentans	8	1	20	4	6	3	58	53	2	4	1	1	1	7	5	5	2	1	0	1	15	6	2	1	0	3	1	4	0	3	0	0	1	0	1	0	1	0	0	0
Staphylococcus muscae	7	7	13	12	23	25	162	123	7	6	2	1	11	10	13	16	0	2	0	2	31	41	23	17	0	0	16	7	12	7	0	0	0	1	3	5	0	1	2	0
Staphylococcus sp. M0911	7	13	90	86	2	1	225	240	15	23	1	1	6	9	13	21	1	1	3	3	4	3	10	16	4	0	12	14	0	3	1	1	3	1	1	1	1	1	2	0
Staphylococcus lutrae	4	5	17	23	6	6	92	100	8	6	4	2	8	10	66	58	1	2	2	2	95	104	61	56	3	1	52	31	19	15	1	0	1	0	1	2	0	1	1	1
Staphylococcus sp. AntiMn-1	3	1	21	19	0	1	50	58	0	1	0	0	4	3	0	0	0	0	0	1	0	1	4	1	0	0	7	6	0	2	1	2	0	0	0	0	0	1	0	0
Staphylococcus delphini	1	6	8	4	34	31	37	31	0	2	0	2	21	3	10	7	0	1	1	3	12	10	9	15	2	2	5	5	2	4	1	1	0	1	0	3	1	2	1	1
Staphylococcus hyicus	1	6	122	140	3	10	83	110	3	5	0	5	8	7	18	24	2	0	2	2	39	46	35	21	0	3	28	32	12	4	2	2	2	0	2	2	0	0	0	1
Macrococcus sp. IME1552	7	5	6	11	19	12	186	213	5	9	1	2	8	11	13	21	1	4	3	2	68	64	15	34	1	4	42	33	7	8	1	2	1	4	4	5	2	2	1	4
Macrococcus caseolyticus	4	6	16	13	2	4	46	54	17	7	1	1	6	8	18	19	0	0	2	1	33	19	17	21	2	1	18	14	10	3	1	2	0	1	1	3	0	3	1	3
Macrococcus canis	2	2	2	11	25	30	111	93	8	7	0	1	31	18	21	35	1	1	0	0	21	29	24	17	1	0	18	20	4	5	1	0	0	1	2	4	1	2	1	3
Auricoccus indicus	14	13	39	37	22	20	111	114	6	16	2	0	11	11	12	16	0	0	5	0	61	65	37	10	1	1	20	16	15	17	1	1	2	1	4	0	1	0	1	3
Salinicoccus halodurans	7	3	7	11	4	5	60	44	7	5	0	0	6	2	64	43	0	0	2	4	92	51	56	64	0	1	41	28	21	19	1	2	1	1	2	0	0	0	2	2
Jeotgalicoccus saudimassiliensis	3	3	8	2	15	24	81	81	11	8	1	1	12	10	46	49	0	0	3	0	64	52	29	38	0	0	20	22	7	16	2	1	0	1	2	0	0	2	0	0
Bacillus cereus	2524	2331	162	185	94	108	542	556	1187	1115	29	28	56	84	495	378	23	30	489	470	627	674	596	553	20	27	337	329	171	156	33	49	49	73	45	80	20	19	86	76
Bacillus thuringiensis	65	58	136	153	33	33	371	375	87	95	21	29	96	97	232	171	36	35	23	38	280	300	185	171	24	24	139	130	78	56	43	57	32	35	48	51	28	29	36	22
Bacillus anthracis	22	25	59	57	4	1	67	58	12	4	0	2	4	3	36	32	4	0	3	3	62	56	53	40	1	0	28	32	18	10	0	2	1	1	1	1	2	1	0	2
Bacillus pseudomycoides	10	17	11	17	8	10	185	216	16	20	2	7	14	23	78	104	2	3	2	9	155	179	113	95	10	5	92	75	37	22	6	2	8	5	14	15	1	2	6	7
Bacillus albus	7	0	1	3	1	0	22	20	3	0	1	0	0	4	14	28	1	1	1	0	26	39	14	8	2	0	14	13	11	9	1	1	1	4	1	1	0	1	1	1
Bacillus mycoides	6	14	22	34	10	12	123	101	11	6	15	13	27	28	33	53	7	7	15	12	43	35	46	24	43	20	33	49	18	16	9	11	9	10	18	24	7	9	7	12
Bacillus cytotoxicus	4	8	8	6	31	30	183	170	2	6	6	6	6	6	210	193	4	2	3	5	240	223	210	155	1	4	152	114	49	100	2	2	6	2	7	5	2	0	3	1
Bacillus wiedmannii	2	0	6	2	1	1	17	22	3	2	0	1	1	6	46	40	1	0	3	4	41	69	44	78	0	0	38	31	26	21	1	2	3	0	3	1	0	1	0	3
Bacillus bombysepticus	1	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	1	1	1	0	0	1	0
Bacillus sp. ABP14	1	0	1	0	0	1	6	9	3	0	0	1	1	2	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
Bacillus subtilis	23	8	45	47	19	25	422	351	20	25	6	9	50	46	371	354	3	3	7	4	521	460	392	359	9	7	304	256	118	146	6	5	5	2	12	15	2	2	3	4
Bacillus velezensis	11	7	23	19	6	8	132	132	4	8	0	3	20	14	81	68	1	2	2	1	113	95	69	85	1	2	59	57	29	28	1	6	2	5	3	2	2	2	3	0
Bacillus amyloliquefaciens	3	6	19	9	21	17	175	244	11	10	3	3	2	5	79	74	3	1	1	0	125	109	62	67	0	4	56	53	41	17	0	1	2	1	6	3	0	0	2	0
Bacillus licheniformis	4	7	1	3	3	1	4	8	2	0	2	3	4	1	6	5	2	3	0	2	4	21	8	19	1	0	23	14	3	10	1	3	1	0	2	1	0	2	0	0
Bacillus vallismortis	1	1	3	1	1	2	31	47	10	9	1	0	27	25	73	72	0	0	2	1	128	106	80	83	1	2	57	68	22	27	1	0	4	3	3	3	0	1	1	1
Bacillus sonorensis	1	1	1	8	21	22	93	108	4	3	0	3	19	13	279	287	0	0	1	2	354	364	252	249	0	1	173	175	80	63	1	1	0	2	1	4	2	0	2	0
Bacillus halotolerans	1	0	4	4	4	1	66	60	1	1	0	0	10	5	120	115	0	0	0	2	185	148	129	101	2	5	92	93	66	65	0	0	0	0	0	2	2	0	0	0
Bacillus sp. 1NLA3E	13	4	12	9	31	41	215	207	12	8	1	2	23	6	109	100	1	1	4	5	210	169	148	135	2	2	94	98	46	54	0	3	1	4	4	2	2	3	2	2
Bacillus thermoamylovorans	12	11	8	5	37	37	155	137	10	3	2	1	19	13	324	293	2	0	6	5	479	444	297	336	1	1	229	242	101	87	2	1	4	2	4	3	2	3	0	6
Bacillus megaterium	11	16	18	15	34	39	168	166	9	15	8	8	40	37	208	243	7	9	4	2	329	311	219	207	6	6	175	160	45	59	7	13	7	16	10	15	2	2	7	5
Bacillus pumilus	11	7	9	12	4	4	123	121	6	15	2	2	8	13	275	257	1	2	4	4	364	317	344	302	1	1	162	166	94	110	2	2	1	7	7	4	0	1	2	1
Bacillus oceanisediminis	10	4	12	3	2	3	139	137	9	6	2	3	10	11	157	139	3	5	3	1	205	182	172	117	2	0	91	95	45	47	4	3	6	3	4	8	1	1	1	1
Bacillus circulans	7	5	19	24	15	14	320	293	24	26	5	3	19	30	113	107	2	3	4	8	195	176	96	115	3	3	83	84	44	46	11	3	4	7	8	17	8	5	6	4
Bacillus lentus	7	8	6	8	33	27	93	58	7	10	3	3	29	14	79	91	5	2	2	4	138	105	99	97	2	1	60	59	30	33	6	3	7	3	5	5	2	1	2	1
Bacillus asahii	7	6	6	11	14	13	111	109	9	7	4	3	8	9	265	248	2	0	3	0	360	377	283	267	4	2	203	154	109	103	4	1	4	2	4	2	0	5	1	2
Bacillus coagulans	6	3	5	14	16	16	201	215	10	2	2	1	13	19	414	390	1	0	3	2	640	495	480	356	1	2	312	282	152	166	0	1	3	6	3	0	3	2	1	2
Bacillus filamentosus	6	4	7	7	18	18	239	265	8	9	1	5	12	11	120	102	4	4	3	3	169	171	125	111	2	1	95	73	48	51	1	3	2	4	4	5	0	0	1	1
Bacillus kochii	6	2	5	13	9	12	60	44	27	27	4	3	11	10	141	122	1	3	1	2	207	255	153	144	4	6	150	115	58	45	1	5	1	5	0	4	0	2	4	2
[Brevibacterium] frigoritolerans	6	6	8	2	6	2	56	64	10	11	4	2	8	16	75	69	1	3	0	1	82	116	62	87	1	3	46	41	12	21	0	2	2	3	1	3	0	2	1	2
Bacillus butanolivorans	6	4	10	7	15	18	212	181	16	12	4	4	8	9	144	116	1	1	2	2	182	176	141	133	6	4	108	89	44	41	1	0	5	4	1	10	2	2	0	1
Bacillus clausii	6	7	7	6	12	7	177	157	48	37	1	1	12	15	180	176	2	0	4	1	251	287	188	194	4	1	138	135	67	54	1	1	2	3	2	0	0	2	3	1
Bacillus simplex	6	4	10	10	27	19	211	256	7	6	7	6	12	10	98	134	7	5	3	6	221	201	144	124	3	3	118	100	52	50	4	5	6	6	4	9	2	2	6	2
Bacillus sp. FJAT-22090	5	2	5	5	6	2	174	158	10	8	4	0	10	7	112	104	1	2	2	5	140	139	123	97	2	3	51	50	38	39	2	2	5	4	7	4	3	1	2	1
Bacillus mesonae	5	7	7	19	2	2	166	185	11	19	1	5	19	17	294	244	1	2	1	1	405	430	267	253	1	2	190	208	101	113	3	4	5	5	3	6	1	2	2	3
Bacillus glycinifermentans	4	4	5	4	34	21	91	79	2	7	0	1	35	41	301	395	2	1	3	3	419	508	350	330	1	0	249	225	141	115	0	1	0	6	2	3	1	0	1	1
Bacillus sp. FJAT-45348	4	5	9	7	8	12	57	63	3	8	2	4	3	1	112	108	1	0	1	0	193	168	131	138	0	0	91	61	26	51	0	2	2	2	0	4	1	1	2	3
Bacillus sp. X1(2014)	4	3	15	7	1	0	142	155	11	16	2	1	10	11	195	223	0	0	1	2	339	308	227	259	2	7	205	148	64	81	0	3	1	3	1	2	2	1	2	3
Bacillus foraminis	4	5	11	4	26	26	65	65	3	3	1	3	32	34	104	89	0	4	2	8	205	196	108	118	1	2	82	88	38	37	0	1	4	2	7	1	1	2	0	1
Bacillus altitudinis	3	5	6	5	1	7	20	27	2	3	0	0	1	0	10	24	0	2	0	0	30	22	15	11	0	2	9	15	7	12	0	0	0	2	0	1	0	0	0	0
Bacillus sp. OxB-1	3	1	5	6	2	0	89	83	5	1	1	0	7	7	142	113	0	0	1	0	178	182	113	96	1	2	76	92	65	45	2	0	1	0	1	0	0	0	1	0
Bacillus muralis	3	1	5	10	15	11	368	354	13	10	2	2	23	19	72	91	1	1	3	0	157	123	111	100	0	1	94	72	52	33	0	1	1	5	2	1	1	0	1	2
Bacillus methanolicus	3	2	6	9	17	17	86	87	2	4	2	1	31	20	755	845	1	1	1	3	1146	1148	856	824	2	1	636	513	270	269	0	1	5	8	4	7	0	2	1	2
Bacillus sp. Y1	3	2	10	11	18	20	139	136	3	5	1	2	12	20	183	169	2	3	0	4	309	214	177	180	0	1	125	109	70	54	7	6	3	2	4	3	3	5	0	0
Bacillus beveridgei	2	1	2	7	5	3	61	69	2	0	0	0	4	0	69	71	0	0	1	0	106	85	73	86	0	0	31	28	11	16	0	1	0	1	0	0	0	1	0	0
Bacillus horikoshii	2	4	2	9	11	12	115	78	3	1	3	4	15	7	177	179	1	0	1	2	258	232	222	147	0	2	129	103	64	93	0	3	2	1	1	7	1	1	1	0
Bacillus smithii	2	1	0	2	35	30	201	207	0	3	1	1	12	10	975	964	1	1	6	5	1314	1278	1053	1038	2	1	739	705	374	397	0	0	3	5	3	2	1	3	1	1
Bacillus cellulosilyticus	2	6	10	5	10	11	124	93	5	1	3	4	7	6	20	30	0	3	2	4	39	45	21	14	3	1	19	16	2	8	1	1	2	3	3	4	1	3	1	0
Bacillus xiamenensis	2	0	0	2	3	3	64	65	3	0	0	0	3	2	57	58	1	0	1	0	127	114	69	83	0	0	64	51	39	30	0	0	0	1	3	0	0	0	0	0
Bacillus gobiensis	2	0	5	8	6	3	39	29	2	2	1	2	4	4	192	170	2	1	1	4	243	242	187	159	3	2	107	124	59	55	6	3	1	2	3	5	1	1	2	0
Bacillus cohnii	2	8	63	69	22	44	64	54	3	1	1	6	22	10	219	173	2	2	4	3	252	202	180	158	2	2	124	103	57	59	1	1	5	4	5	5	2	2	1	3
Bacillus litoralis	2	5	11	20	19	25	116	103	20	12	5	5	20	37	214	219	2	1	1	4	356	411	241	249	2	5	190	145	139	116	3	5	1	8	1	8	4	5	3	5
Bacillus lehensis	2	10	6	3	9	3	174	159	0	0	1	0	10	13	50	64	1	1	1	0	133	105	51	46	0	2	47	37	25	31	0	1	1	1	3	4	0	1	1	2
Bacillus flexus	2	3	4	8	7	2	198	256	7	8	1	4	8	3	246	253	0	3	0	3	395	313	211	248	0	1	189	209	65	90	1	2	4	1	4	2	3	2	1	3
Bacillus krulwichiae	1	9	5	6	6	6	75	87	3	5	3	2	5	7	98	96	0	3	3	2	161	151	144	92	0	3	98	69	41	50	0	1	1	3	3	2	1	1	0	1
Bacillus halodurans	1	4	5	1	19	27	61	66	2	3	4	0	10	8	261	219	1	0	1	0	309	331	250	235	0	2	204	158	83	62	0	0	2	1	3	0	1	2	1	2
Bacillus jeotgali	1	1	4	5	4	0	194	171	11	9	1	0	8	4	198	207	1	1	1	1	291	277	194	167	0	2	155	157	69	76	0	2	2	0	2	3	1	0	1	1
Bacillus weihaiensis	1	3	7	10	9	8	117	102	21	17	0	1	24	7	86	95	1	1	0	0	140	158	101	76	3	3	84	51	55	29	1	3	2	2	4	3	2	2	3	3
Bacillus marisflavi	1	2	6	3	11	18	211	186	1	10	3	3	17	19	91	96	3	2	1	6	200	182	130	73	1	3	75	101	36	36	3	5	3	4	1	3	0	0	0	0
Bacillus thermocopriae	1	0	1	3	29	32	102	86	0	1	7	6	31	29	4926	4700	0	2	2	3	6554	6288	5402	4962	0	1	3636	3570	1841	1770	0	4	12	24	1	0	0	0	1	0
Bacillus pseudofirmus	1	5	10	8	61	48	168	168	1	2	0	2	21	18	122	106	1	4	1	0	141	140	97	112	1	1	72	53	37	32	1	2	2	2	4	6	0	0	0	2
Bacillus safensis	1	1	7	8	3	0	57	38	4	9	1	2	8	13	87	85	0	1	3	1	145	127	141	110	0	2	48	41	29	32	2	1	2	2	3	3	2	1	0	1
Lysinibacillus sphaericus	14	18	14	24	7	2	175	183	12	19	2	4	22	21	133	109	3	2	5	11	200	171	132	129	2	4	107	87	48	51	2	2	3	6	7	10	2	2	4	2
Lysinibacillus sp. Marseille-P5727	4	9	21	16	8	22	88	81	5	2	1	4	14	26	38	42	0	2	2	2	55	69	50	48	2	2	26	28	17	19	3	0	4	4	3	3	1	0	1	2
Lysinibacillus sp. 2017	3	6	12	7	9	11	129	124	3	8	1	1	26	28	46	51	2	1	2	4	82	57	32	45	0	6	31	32	23	17	5	0	1	2	4	3	2	2	3	4
Lysinibacillus sp. YS11	2	1	4	8	8	7	167	159	1	1	1	0	4	6	37	41	2	2	1	1	78	60	55	46	1	2	27	30	6	19	1	6	3	5	2	3	1	1	1	0
Lysinibacillus fusiformis	1	0	1	3	1	1	26	17	0	1	2	2	3	1	13	33	1	0	0	1	19	38	22	19	0	2	9	6	6	15	0	1	0	0	0	1	0	0	2	1
Lysinibacillus varians	1	2	2	1	4	4	44	39	0	0	0	1	3	3	50	44	0	1	1	0	76	62	34	65	0	1	40	42	24	26	0	0	1	0	0	0	0	0	0	1
Virgibacillus halodenitrificans	6	7	6	6	4	20	91	104	5	6	1	4	15	14	34	24	3	3	2	3	41	26	17	10	2	1	23	23	16	13	2	3	1	6	12	4	2	0	3	4
Virgibacillus sp. 6R	6	7	9	4	24	26	129	100	3	3	1	0	13	18	65	50	2	3	3	4	97	72	68	74	0	4	35	32	9	20	2	3	0	2	4	6	0	6	3	3
Virgibacillus phasianinus	3	11	8	2	5	7	111	109	15	4	2	1	9	7	72	72	1	2	2	0	85	103	89	85	1	0	68	60	33	37	1	2	2	5	4	7	1	1	0	2
Virgibacillus sp. Bac330	3	1	11	3	14	12	18	13	4	3	0	1	11	8	40	35	0	1	1	1	59	55	42	45	1	0	31	23	11	15	1	4	4	1	3	2	1	2	0	3
Virgibacillus necropolis	2	5	17	18	13	10	107	115	12	4	9	10	16	20	64	76	6	2	9	12	94	91	66	81	5	4	50	59	24	14	10	10	2	8	0	6	4	4	6	2
Virgibacillus sp. SK37	2	6	4	6	40	49	52	33	12	24	1	2	2	8	13	20	1	4	1	0	23	29	35	28	1	1	17	21	9	6	1	1	1	1	3	1	0	0	1	4
Virgibacillus sp. Bac332	2	4	9	3	33	36	129	140	6	13	3	0	9	7	84	80	3	3	2	5	94	121	64	80	1	4	44	43	21	23	1	2	2	2	0	4	0	2	3	3
Geobacillus subterraneus	4	0	5	5	3	3	60	53	0	2	0	0	9	7	1491	1397	0	0	7	0	2261	2076	1523	1588	2	0	1155	1075	513	535	0	0	4	8	0	5	2	0	0	0
Geobacillus sp. WCH70	4	2	6	5	3	7	178	189	2	4	3	6	23	32	3498	3206	1	0	3	12	5078	5130	3800	3723	6	6	2854	2527	1322	1218	1	0	14	11	1	3	1	1	3	1
Geobacillus sp. GHH01	2	4	7	6	0	0	5	6	0	2	0	1	1	1	234	246	0	0	0	0	248	295	249	216	0	0	153	161	62	98	0	0	0	0	0	0	1	0	0	0
Geobacillus thermocatenulatus	2	0	0	0	0	0	1	0	3	2	0	2	17	11	1500	1340	2	0	1	2	1945	1868	1603	1600	0	2	1083	982	518	515	2	0	5	3	1	0	0	1	0	0
Geobacillus thermodenitrificans	1	1	0	2	2	1	24	15	6	13	0	1	8	13	411	384	0	1	0	1	701	665	441	436	0	0	357	315	164	123	0	0	2	0	1	1	0	0	0	1
Geobacillus genomosp. 3	1	1	0	4	19	15	256	236	0	0	2	2	13	11	1266	1229	0	0	1	0	1848	1793	1287	1352	1	0	980	932	444	462	1	0	3	4	2	3	1	0	0	3
Anoxybacillus amylolyticus	3	1	4	4	6	2	24	40	2	2	27	18	332	327	44747	41958	11	4	52	56	59754	57448	47896	45960	19	18	33667	30742	15808	14938	17	11	99	124	3	3	17	9	6	3
Anoxybacillus flavithermus	2	0	2	4	1	9	152	169	3	5	2	7	58	56	6893	6593	2	0	5	14	9310	9065	7549	7263	6	5	5313	4882	2593	2261	1	3	15	23	26	48	2	6	3	4
Oceanobacillus iheyensis	5	8	14	11	16	16	170	192	25	20	5	4	26	17	101	113	4	5	5	3	155	167	121	105	4	1	77	77	30	27	7	3	5	7	7	4	0	1	4	5
Oceanobacillus sp. 160	2	3	7	9	4	9	95	67	2	1	0	1	5	10	52	56	2	0	4	4	78	76	55	52	2	1	26	48	25	12	2	3	0	5	4	4	2	2	1	2
Amphibacillus xylanus	6	1	7	17	5	3	57	62	11	9	1	3	12	9	26	51	2	1	2	2	94	94	38	27	0	5	37	37	41	18	0	3	0	5	2	1	3	2	2	1
Fictibacillus arsenicus	3	8	5	8	17	22	37	36	3	3	0	0	23	9	83	115	4	1	4	1	138	145	122	93	8	4	71	60	41	28	2	4	2	3	1	2	0	0	1	1
Fictibacillus phosphorivorans	2	2	6	7	0	2	122	108	2	3	1	2	7	10	82	73	0	1	2	1	113	75	99	71	0	0	93	49	36	47	0	2	1	3	3	4	0	1	0	1
Parageobacillus thermoglucosidasius	2	4	1	0	1	1	22	30	3	0	0	0	12	12	1152	1072	1	1	3	3	1726	1511	1292	1213	0	1	932	850	434	420	7	0	0	0	1	2	4	0	2	0
Parageobacillus genomosp. 1	2	2	5	5	5	3	279	253	4	6	5	8	61	31	5631	5147	5	2	12	9	8112	7669	6234	6026	0	2	4357	3990	1952	1920	0	4	17	20	2	1	0	0	2	1
Halobacillus halophilus	2	1	15	6	2	4	270	228	12	8	0	2	23	22	84	69	1	0	1	0	89	99	90	84	1	1	70	33	33	13	0	1	2	0	1	4	1	2	0	1
